Timestamp,Sender,Message
"15/09/2025, 10:05 AM",Aarav,Good morning 😊
"15/09/2025, 10:08 AM",Siya,Hmm
"15/09/2025, 10:09 AM",Aarav,Kya hua? You're quiet today
"15/09/2025, 10:12 AM",Siya,Nothing.
"15/09/2025, 10:15 AM",Aarav,"Siya, kal tak you were fine... aaj mood off?"
"15/09/2025, 10:17 AM",Siya,Idk yaar. Kabhi kabhi bas acha nahi lagta.
"15/09/2025, 10:18 AM",Aarav,Hmm I get it. Want to talk about it?
"15/09/2025, 10:20 AM",Siya,Nahi. Leave it.
"15/09/2025, 10:25 AM",Aarav,Okay... want me to send you that meme you liked yesterday?
"15/09/2025, 10:27 AM",Siya,😒 Not funny today.
"15/09/2025, 10:29 AM",Aarav,Ohh sorry… Should I call?
"15/09/2025, 10:32 AM",Siya,No call pls.
"15/09/2025, 10:35 AM",Aarav,Hmm okay... I'm here if you need me ❤️
"15/09/2025, 11:00 AM",Siya,Sorry 😔 Mujhe khud samajh nahi aa raha... Mood swings ho rahe hain.
"15/09/2025, 11:02 AM",Aarav,"It’s okay Siya. Happens. Take your time, I’ll not disturb you."
"15/09/2025, 11:05 AM",Siya,Thanks for understanding 🫶
"15/09/2025, 11:06 AM",Aarav,Always. Just text me when you feel better 😊
